variable,model,actual,top5,top5_probs,hit5,hit25,exact,nlp,p_act
QS_1,Analytical,1,"[1, 2, 3, 4, 5]","[0.128205, 0.11471, 0.102309, 0.090941, 0.080548]",1,1,1,2.054124,0.128205
QS_1,HistFreq,1,"[1, 2, 3, 4, 5]","[0.128392, 0.118732, 0.102661, 0.085624, 0.083604]",1,1,1,2.052667,0.128392
QS_1,MonteCarlo,1,"[1, 2, 3, 4, 5]","[0.12779, 0.11541, 0.10242, 0.09201, 0.07977]",1,1,1,2.057367,0.12779
QS_1,XGBoost,1,"[1, 2, 6, 5, 3]","[0.146905, 0.138221, 0.096287, 0.09146, 0.081028]",1,1,1,1.917967,0.146905
QS_1,LightGBM,1,"[1, 2, 6, 5, 3]","[0.15251, 0.133766, 0.091582, 0.086274, 0.085891]",1,1,1,1.880522,0.15251
QS_1,CatBoost,1,"[1, 2, 3, 5, 6]","[0.138407, 0.132188, 0.092488, 0.07778, 0.075897]",1,1,1,1.977559,0.138407
QS_1,RandomForest,1,"[1, 2, 3, 5, 6]","[0.129489, 0.124026, 0.097109, 0.082677, 0.07842]",1,1,1,2.044156,0.129489
QS_1,MLP,1,"[2, 1, 3, 5, 4]","[0.122511, 0.119263, 0.092917, 0.08573, 0.083151]",1,1,0,2.126426,0.119263
QS_1,TabICLv2,1,"[1, 2, 6, 3, 5]","[0.130377, 0.124847, 0.103097, 0.09934, 0.080431]",1,1,1,2.037322,0.130377
QS_1,Ensemble_XLC,1,"[1, 2, 6, 3, 5]","[0.145941, 0.134725, 0.087922, 0.086469, 0.085171]",1,1,1,1.924554,0.145941
QS_2,Analytical,5,"[10, 11, 9, 12, 8]","[0.057118, 0.056899, 0.056413, 0.055883, 0.05465]",0,1,0,3.180302,0.041573
QS_2,HistFreq,5,"[10, 11, 8, 9, 13]","[0.061122, 0.059015, 0.056204, 0.05559, 0.055414]",0,1,0,3.19819,0.040836
QS_2,MonteCarlo,5,"[10, 11, 8, 9, 12]","[0.05701, 0.05681, 0.05565, 0.05536, 0.05533]",0,1,0,3.169134,0.04204
QS_2,XGBoost,5,"[12, 9, 14, 10, 7]","[0.076636, 0.072547, 0.071667, 0.06764, 0.058031]",0,1,0,2.880866,0.056086
QS_2,LightGBM,5,"[5, 7, 13, 14, 9]","[0.255778, 0.079643, 0.071202, 0.065573, 0.054029]",1,1,1,1.363444,0.255778
QS_2,CatBoost,5,"[15, 7, 14, 11, 10]","[0.068204, 0.06165, 0.061117, 0.060402, 0.057194]",0,1,0,3.214576,0.040172
QS_2,RandomForest,5,"[10, 12, 11, 9, 7]","[0.061165, 0.06005, 0.058866, 0.058007, 0.05747]",0,1,0,3.188296,0.041242
QS_2,MLP,5,"[10, 12, 8, 7, 9]","[0.053143, 0.051618, 0.051503, 0.0495, 0.048248]",0,1,0,3.26968,0.038019
QS_2,TabICLv2,5,"[10, 11, 7, 12, 13]","[0.063566, 0.060569, 0.058815, 0.058413, 0.057271]",0,1,0,3.197081,0.040881
QS_2,Ensemble_XLC,5,"[5, 7, 14, 9, 13]","[0.117346, 0.066441, 0.066119, 0.060355, 0.057005]",1,1,1,2.142631,0.117346
QS_3,Analytical,17,"[20, 19, 21, 18, 22]","[0.050787, 0.05049, 0.05049, 0.049604, 0.049604]",0,1,0,3.033532,0.048145
QS_3,HistFreq,17,"[19, 21, 20, 23, 18]","[0.049179, 0.049003, 0.048652, 0.048301, 0.048213]",0,1,0,3.048658,0.047422
QS_3,MonteCarlo,17,"[19, 20, 21, 22, 18]","[0.05134, 0.05103, 0.0502, 0.04991, 0.04827]",0,1,0,3.050188,0.04735
QS_3,XGBoost,17,"[14, 18, 11, 19, 24]","[0.057303, 0.05169, 0.051514, 0.05086, 0.049093]",0,1,0,3.285367,0.037427
QS_3,LightGBM,17,"[13, 33, 19, 18, 14]","[0.07199, 0.066013, 0.06059, 0.059751, 0.057665]",0,1,0,3.285685,0.037415
QS_3,CatBoost,17,"[18, 19, 17, 23, 14]","[0.054964, 0.054882, 0.053763, 0.050934, 0.048297]",1,1,0,2.923162,0.053763
QS_3,RandomForest,17,"[20, 19, 18, 16, 23]","[0.051363, 0.050247, 0.049659, 0.048913, 0.048588]",0,1,0,3.05657,0.047049
QS_3,MLP,17,"[19, 18, 20, 21, 17]","[0.050176, 0.046962, 0.046893, 0.046507, 0.045327]",1,1,0,3.093842,0.045327
QS_3,TabICLv2,17,"[18, 20, 17, 19, 24]","[0.051, 0.050914, 0.050414, 0.050256, 0.048801]",1,1,0,2.98748,0.050414
QS_3,Ensemble_XLC,17,"[18, 19, 13, 14, 24]","[0.055468, 0.055444, 0.054466, 0.054422, 0.046678]",0,1,0,3.14962,0.042868
QS_4,Analytical,23,"[30, 29, 31, 28, 32]","[0.057118, 0.056899, 0.056413, 0.055883, 0.05465]",0,1,0,3.151315,0.042796
QS_4,HistFreq,23,"[30, 29, 28, 32, 31]","[0.058576, 0.057434, 0.05638, 0.056117, 0.05559]",0,1,0,3.137692,0.043383
QS_4,MonteCarlo,23,"[30, 31, 29, 28, 27]","[0.05675, 0.05663, 0.05613, 0.05599, 0.05511]",0,1,0,3.170562,0.04198
QS_4,XGBoost,23,"[29, 24, 31, 20, 28]","[0.12193, 0.068808, 0.067723, 0.062351, 0.059139]",0,1,0,3.65619,0.025831
QS_4,LightGBM,23,"[20, 29, 24, 27, 31]","[0.179258, 0.14549, 0.080906, 0.06909, 0.066932]",0,1,0,3.865954,0.020943
QS_4,CatBoost,23,"[31, 29, 32, 27, 24]","[0.066434, 0.063785, 0.058472, 0.058129, 0.057591]",0,1,0,3.352096,0.035011
QS_4,RandomForest,23,"[27, 31, 29, 32, 28]","[0.06634, 0.060067, 0.057393, 0.055806, 0.055141]",0,1,0,3.262041,0.03831
QS_4,MLP,23,"[30, 32, 28, 29, 27]","[0.057449, 0.056142, 0.055224, 0.054236, 0.053778]",0,1,0,3.201393,0.040705
QS_4,TabICLv2,23,"[30, 29, 27, 28, 32]","[0.05991, 0.05918, 0.058836, 0.058663, 0.056902]",0,1,0,3.109057,0.044643
QS_4,Ensemble_XLC,23,"[29, 20, 24, 31, 27]","[0.110401, 0.092132, 0.069101, 0.06703, 0.059501]",0,1,0,3.602279,0.027262
QS_5,Analytical,32,"[39, 38, 37, 36, 35]","[0.128205, 0.11471, 0.102309, 0.090941, 0.080548]",0,1,0,2.90681,0.05465
QS_5,HistFreq,32,"[39, 38, 37, 36, 35]","[0.133046, 0.108194, 0.101607, 0.091596, 0.080091]",0,1,0,2.916981,0.054097
QS_5,MonteCarlo,32,"[39, 38, 37, 36, 35]","[0.12866, 0.11688, 0.10199, 0.09135, 0.07999]",0,1,0,2.885802,0.05581
QS_5,XGBoost,32,"[39, 37, 36, 35, 38]","[0.13001, 0.11018, 0.10162, 0.095126, 0.090435]",0,1,0,2.99244,0.050165
QS_5,LightGBM,32,"[39, 37, 35, 38, 33]","[0.118579, 0.118538, 0.088195, 0.080532, 0.079122]",0,1,0,2.768406,0.062762
QS_5,CatBoost,32,"[39, 37, 38, 36, 35]","[0.129112, 0.123754, 0.091081, 0.090194, 0.085141]",0,1,0,3.027234,0.048449
QS_5,RandomForest,32,"[39, 37, 38, 36, 35]","[0.131017, 0.113645, 0.097291, 0.091087, 0.081069]",0,1,0,2.959042,0.051869
QS_5,MLP,32,"[38, 36, 37, 39, 35]","[0.126494, 0.102125, 0.102093, 0.099865, 0.082496]",0,1,0,3.040474,0.047812
QS_5,TabICLv2,32,"[39, 38, 37, 36, 35]","[0.143549, 0.107373, 0.106091, 0.095312, 0.082374]",0,1,0,2.581569,0.075655
QS_5,Ensemble_XLC,32,"[39, 37, 35, 36, 38]","[0.1259, 0.117491, 0.089487, 0.089319, 0.087349]",0,1,0,2.922629,0.053792
