experiment,parameter,variable,actual,top5,hit5,p_actual,neg_log_prob,brier
temperature_scaling,temp=0.5,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.21011359929067838,1.5601069455216061,0.7001341828469247
temperature_scaling,temp=0.5,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.03989579672579847,3.2214843058536,0.9747973005536955
temperature_scaling,temp=0.5,QS_3,17,"[17, 18, 19, 21, 24]",1.0,0.07124624424206898,2.6416131736147386,0.9048133907976088
temperature_scaling,temp=0.5,QS_4,23,"[28, 32, 34, 31, 30]",0.0,0.05233935283869952,2.950006746520975,0.9514500686333183
temperature_scaling,temp=0.5,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.035652226078492597,3.333943691476827,1.0737276182860436
temperature_scaling_backtest,temp=0.5,QS_1,backtest,,0.4684931506849315,46.849315068493155,0.0,0.0
temperature_scaling_backtest,temp=0.5,QS_2,backtest,,0.25753424657534246,25.753424657534246,0.0,0.0
temperature_scaling_backtest,temp=0.5,QS_3,backtest,,0.25205479452054796,25.205479452054796,0.0,0.0
temperature_scaling_backtest,temp=0.5,QS_4,backtest,,0.2876712328767123,28.767123287671232,0.0,0.0
temperature_scaling_backtest,temp=0.5,QS_5,backtest,,0.5013698630136987,50.136986301369866,0.0,0.0
temperature_scaling,temp=0.8,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.14415118695460732,1.936892620768551,0.7942504464594528
temperature_scaling,temp=0.8,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.041171324191322425,3.190013279731117,0.9625889163940801
temperature_scaling,temp=0.8,QS_3,17,"[17, 18, 19, 21, 24]",1.0,0.05685250239267947,2.8672950422929517,0.9264936561881427
temperature_scaling,temp=0.8,QS_4,23,"[28, 32, 34, 31, 30]",0.0,0.04897074770336689,3.016532144783967,0.9475672237214317
temperature_scaling,temp=0.8,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.04980767132165228,2.999586264211414,0.9945003922038257
temperature_scaling_backtest,temp=0.8,QS_1,backtest,,0.4684931506849315,46.849315068493155,0.0,0.0
temperature_scaling_backtest,temp=0.8,QS_2,backtest,,0.25753424657534246,25.753424657534246,0.0,0.0
temperature_scaling_backtest,temp=0.8,QS_3,backtest,,0.25205479452054796,25.205479452054796,0.0,0.0
temperature_scaling_backtest,temp=0.8,QS_4,backtest,,0.2876712328767123,28.767123287671232,0.0,0.0
temperature_scaling_backtest,temp=0.8,QS_5,backtest,,0.5013698630136987,50.136986301369866,0.0,0.0
temperature_scaling,temp=1.0,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.12115664883411238,2.110670952217566,0.8275485938587003
temperature_scaling,temp=1.0,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.04067773227568714,3.2020744547910316,0.9601195267294104
temperature_scaling,temp=1.0,QS_3,17,"[17, 18, 19, 21, 24]",1.0,0.05172553845359594,2.9618036454753573,0.9341022194876893
temperature_scaling,temp=1.0,QS_4,23,"[28, 32, 34, 31, 30]",0.0,0.04675642593272245,3.062803579586891,0.9482561670089196
temperature_scaling,temp=1.0,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05284166986630404,2.940455197512744,0.9726355203530507
temperature_scaling_backtest,temp=1.0,QS_1,backtest,,0.4684931506849315,46.849315068493155,0.0,0.0
temperature_scaling_backtest,temp=1.0,QS_2,backtest,,0.25753424657534246,25.753424657534246,0.0,0.0
temperature_scaling_backtest,temp=1.0,QS_3,backtest,,0.25205479452054796,25.205479452054796,0.0,0.0
temperature_scaling_backtest,temp=1.0,QS_4,backtest,,0.2876712328767123,28.767123287671232,0.0,0.0
temperature_scaling_backtest,temp=1.0,QS_5,backtest,,0.5013698630136987,50.136986301369866,0.0,0.0
temperature_scaling,temp=1.5,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.08973812529966627,2.4108595690061247,0.8736067190782976
temperature_scaling,temp=1.5,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.038794066955677574,3.2494879575588373,0.9589341999923755
temperature_scaling,temp=1.5,QS_3,17,"[17, 18, 19, 21, 24]",1.0,0.04441065087383269,3.114275953765874,0.9448853568602683
temperature_scaling,temp=1.5,QS_4,23,"[28, 32, 34, 31, 30]",0.0,0.0425078872701108,3.158065637443992,0.9514400001813912
temperature_scaling,temp=1.5,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.053125521094970395,2.935097842939161,0.9519693224704872
temperature_scaling_backtest,temp=1.5,QS_1,backtest,,0.4684931506849315,46.849315068493155,0.0,0.0
temperature_scaling_backtest,temp=1.5,QS_2,backtest,,0.25753424657534246,25.753424657534246,0.0,0.0
temperature_scaling_backtest,temp=1.5,QS_3,backtest,,0.25205479452054796,25.205479452054796,0.0,0.0
temperature_scaling_backtest,temp=1.5,QS_4,backtest,,0.2876712328767123,28.767123287671232,0.0,0.0
temperature_scaling_backtest,temp=1.5,QS_5,backtest,,0.5013698630136987,50.136986301369866,0.0,0.0
temperature_scaling,temp=2.0,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.07367907337874778,2.6080364634069504,0.8974483578547683
temperature_scaling,temp=2.0,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.03706794401720422,3.2950027255317305,0.9596426045873784
temperature_scaling,temp=2.0,QS_3,17,"[17, 18, 19, 21, 24]",1.0,0.04042685920280865,3.2082608831650696,0.9507424904546944
temperature_scaling,temp=2.0,QS_4,23,"[28, 32, 34, 31, 30]",0.0,0.039603572163658445,3.2288359586370414,0.9543378269942784
temperature_scaling,temp=2.0,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05063462874824215,2.9831195741445433,0.9472505217320552
temperature_scaling_backtest,temp=2.0,QS_1,backtest,,0.4684931506849315,46.849315068493155,0.0,0.0
temperature_scaling_backtest,temp=2.0,QS_2,backtest,,0.25753424657534246,25.753424657534246,0.0,0.0
temperature_scaling_backtest,temp=2.0,QS_3,backtest,,0.25205479452054796,25.205479452054796,0.0,0.0
temperature_scaling_backtest,temp=2.0,QS_4,backtest,,0.2876712328767123,28.767123287671232,0.0,0.0
temperature_scaling_backtest,temp=2.0,QS_5,backtest,,0.5013698630136987,50.136986301369866,0.0,0.0
boost_value_23,boost=1.0x,QS_1,1,"[1, 4, 2, 3, 5]",1.0,0.12115664883411238,2.110670952217566,0.8275485938587003
boost_value_23,boost=1.0x,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.04067773227568714,3.2020744547910316,0.9601195267294104
